candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
KW Viper Smith,Ontario,OBL,1,,obl-teams,KW Vipers,0.783,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - JAINARAINE,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.29,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite James,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U11B Meschino,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.381,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact- Morgenstern,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Durham Crossover- Abe,Ontario,OBL,1,,obl-teams,Durham Crossover Basketball,0.809,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DK U11 Boys,Ontario,OBL,1,,obl-teams,DK Dragons,0.476,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Justin/Phil,Ontario,OBL,1,,obl-teams,Gators Basketball Academy,0.375,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U11B Collingwood Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Alan,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.545,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U11B DeCaria,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.439,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Gendi,Ontario,OBL,1,,obl-teams,York South Silver Knights,0.229,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KWGBA Phoenix - McNally,Ontario,OBL,1,,obl-teams,Kitchener-Waterloo Girls Basketball Association,0.267,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - DELA PENA,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Ferreira,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.571,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U11G Collingwood Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U11G- Passley,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact- Clarke,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U11G Paine,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.41,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Guelph Gryphons- Millar,Ontario,OBL,1,,obl-teams,Guelph Gryphons Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U11 Girls,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.414,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Cross,Ontario,OBL,1,,obl-teams,Toronto Lords Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
