club,league,entry_detail
Father Henry Carr (Jr. Prep + Freshmen Prep),OSBA,D-League Boys (entry 1)
Father Henry Carr (Jr. Prep + Freshmen Prep),OSBA,D-League Boys (entry 2)
Inspire Academy,OSBA,OSBA Men's
Inspire Academy,OSBA,D-League Boys
Lo-Ellen Park Prep,OSBA,OSBA Women's
Lo-Ellen Park Prep,OSBA,D-League Girls
Niagara Prep,OSBA,OSBA Women's
Niagara Prep,OSBA,D-League Girls
J.Addison School,OSBA,OSBA Women's
J.Addison School,OSBA,Trillium Men's
Capital Courts Academy,OSBA,OSBA Women's
Capital Courts Academy,OSBA,D-League Girls
Louis-Riel (Academy),OSBA,OSBA Women's
Louis-Riel (Academy),OSBA,Trillium Men's
H5 Academy,OSBA,Trillium Men's
H5 Academy,OSBA,D-League Girls
Tri-City Prep,OSBA,Trillium Men's
Tri-City Prep,OSBA,D-League Boys
James Cardinal McGuigan,OSBA,Trillium Men's
James Cardinal McGuigan,OSBA,D-League Boys
Uchenna Academy,OSBA,Trillium Men's
Uchenna Academy,OSBA,D-League Boys
Ridley College,OSBA,OSBA Men's
Cambridge International Academy,OSBA,OSBA Men's
King's Christian Collegiate,OSBA,OSBA Women's
Redmond Basketball,OSBA,OSBA Women's
Richmond Hill Ascend Prep,OSBA,Trillium Men's
Ace Acumen Heights,OSBA,Trillium Men's
Full Circle Basketball Academy,OSBA,Trillium Men's
Tall Pines Academy,OSBA,Trillium Men's
AD Rebelles,OSBA,D-League Girls
Southwest Academy,OSBA,D-League Girls
St. Michael's College,OSBA,D-League Boys
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 1)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 2)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 3)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 4)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 5)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 6)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 7)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 8)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 9)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 10)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 11)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 12)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 13)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 14)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 15)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 16)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 17)"
"Scarborough Blues / SBA (Team {coach}, Premier)",Coalition (Summer 2025),"Gr4–Senior (14B, 4G) (entry 18)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 1)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 2)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 3)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 4)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 5)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 6)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 7)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 8)"
Brampton Warriors,Coalition (Summer 2025),"Gr5–Senior (3B, 6G) (entry 9)"
YNBA (incl. Avengers),Coalition (Summer 2025),Gr5–Gr9 (entry 1)
YNBA (incl. Avengers),Coalition (Summer 2025),Gr5–Gr9 (entry 2)
YNBA (incl. Avengers),Coalition (Summer 2025),Gr5–Gr9 (entry 3)
YNBA (incl. Avengers),Coalition (Summer 2025),Gr5–Gr9 (entry 4)
YNBA (incl. Avengers),Coalition (Summer 2025),Gr5–Gr9 (entry 5)
East York Eagles,Coalition (Summer 2025),Gr5–Senior (all girls) (entry 1)
East York Eagles,Coalition (Summer 2025),Gr5–Senior (all girls) (entry 2)
East York Eagles,Coalition (Summer 2025),Gr5–Senior (all girls) (entry 3)
East York Eagles,Coalition (Summer 2025),Gr5–Senior (all girls) (entry 4)
Monarchs,Coalition (Summer 2025),Gr5–Gr9 (entry 1)
Monarchs,Coalition (Summer 2025),Gr5–Gr9 (entry 2)
Monarchs,Coalition (Summer 2025),Gr5–Gr9 (entry 3)
Monarchs,Coalition (Summer 2025),Gr5–Gr9 (entry 4)
Durham Rising Suns,Coalition (Summer 2025),Gr4 + Gr10 (entry 1)
Durham Rising Suns,Coalition (Summer 2025),Gr4 + Gr10 (entry 2)
K-W Vipers,Coalition (Summer 2025),Gr10–Gr11 (B) (entry 1)
K-W Vipers,Coalition (Summer 2025),Gr10–Gr11 (B) (entry 2)
